"M0","sigma","geometric"
0.,0.,0.
0.1,0.00002032225833842864,0.000034585898192151584
0.2,0.00008084711661382711,0.0001257757563415313
0.3,0.00018026887757085925,0.00025832990997171843
0.4,0.0003164766694069192,0.0004208187917581312
0.5,0.0004866471248390823,0.0006046485632058852
0.6,0.0006873642352772808,0.0008033444421441992
0.7,0.0009147578250628627,0.0010120177944022309
0.8,0.001164651333561273,0.0012269673895906684
0.9,0.0014327097467994843,0.0014453804945748802
1.,0.0017145794774490655,0.0016651087252302448
1.1,0.0020060135536871387,0.0018845009379027727
1.2,0.0023029773952881957,0.00210227912289579
1.3,0.0026017324745406176,0.002317446959350203
1.4,0.0028988970573153106,0.002529222810234041
1.5,0.0031914848303197015,0.0027369909560921598
