"M0","sigma","geometric"
0.,0.,0.
0.1,0.0001698069721062933,-0.000053231710859421835
0.2,0.0006560692598725818,-0.00021346784224166203
0.3,0.0013995554813244428,-0.0004604476549296741
0.4,0.002319851166946267,-0.0007526184773682055
0.5,0.0033336893545763647,-0.0010569945589275322
0.6,0.004370018962146538,-0.0013412143654670467
0.7,0.005380649548175916,-0.0015886051748547213
0.8,0.006324621811529754,-0.0017699423007212847
0.9,0.00717723304890632,-0.0019066092934968497
1.,0.007926346368365644,-0.0019924752750654713
1.1,0.008592290851948996,-0.0020255849980416714
1.2,0.00915296871499827,-0.0020373409127784174
1.3,0.009643998002837446,-0.002007072080785191
1.4,0.010041604070272245,-0.0019581678839216306
1.5,0.01037244960438986,-0.0018844213784825585
